datetime,id,fecha,hora,sitio,MEANt,VARt,Ht,MEANf,VARf,Hf,SKEWf,KURTf,ACI,NDSI,ADI,AEI,BI,especies,biofonia
2023-09-28 00:05:00,SMM09344,20230928,0:05:00,P07_SMM09344,-2.3e-19,0.000411363,0.699662875,0.000368835,6.79e-07,0.450621796,9.35035383,114.5454981,333.7333214,-0.76471183,1.355382034,0.616563572,103.9873,0,0
2023-09-28 00:05:00,SMM09360,20230928,0:05:00,P23_SMM09360,-2.12e-19,6.53e-06,0.80988666,8.35e-05,5.66e-09,0.81913392,2.583271556,13.4293751,320.8636461,-0.267153246,2.015752724,0.195730235,55.44249261,0,2
2023-09-28 00:05:00,SMM09499,20230928,0:05:00,P03_SMM09499,1.47e-19,5.92e-06,0.76647581,6.66e-05,7.07e-09,0.663887862,5.632867375,40.46266618,324.7404603,-0.630920351,1.941468897,0.271154994,39.23568417,0,0
2023-09-28 00:05:00,SMM09261,20230928,0:05:00,P02_SMM09261,2.86e-20,2.59e-06,0.932313199,5.11e-05,2.41e-09,0.794160286,2.813182126,11.6375529,303.2821471,0.592454971,2.078716097,0.021433335,47.55108775,0,2
2023-09-28 00:05:00,SMM09520,20230928,0:05:00,P36_SMM09520,1.2300000000000002e-21,2.57e-05,0.99592528,0.000171918,2.06e-08,0.872407659,0.891381585,3.421176904,296.2645319,0.249134228,2.079382917,0.004288149,153.6333755,0,0
2023-09-28 00:05:00,SMM09309,20230928,0:05:00,P39_SMM09309,-1.43e-19,4.75e-05,0.817759684,0.00020659,5.08e-08,0.767816893,2.855180098,12.46225559,347.663907,0.430302063,1.786479383,0.407837216,62.80675527,0,0
2023-09-28 00:05:00,SMM09311,20230928,0:05:00,P09_SMM09311,1.38e-19,3.14e-06,0.974362244,6.1e-05,2.36e-09,0.855021645,1.758613833,5.666118047,301.1239343,-0.308008809,2.079422676,0.003497992,48.1421126,0,0
2023-09-28 00:05:00,SMM09721,20230928,0:05:00,P01_SMM09721,6.3e-20,7.03e-07,0.957989626,3.12e-05,2.86e-10,0.904788286,3.067850781,13.46953827,296.9848214,-0.192434864,2.079426748,0.003074489,20.68803046,0,0
2023-09-28 00:05:00,SMM09319,20230928,0:05:00,P26_SMM09319,1.12e-20,3.73e-07,0.995491643,2e-05,2.63e-10,0.826516263,3.061070145,12.55522302,296.6513497,-0.476544898,2.079440124,0.000955241,33.78245524,0,0
2023-09-28 00:05:00,SMM09557,20230928,0:05:00,P04_SMM09557,4.78e-19,0.000164917,0.851588287,0.000377946,1.79e-07,0.770712393,2.605117706,10.42715532,328.4875752,0.86565884,2.069235319,0.077152913,106.3288399,0,0
2023-09-28 00:05:00,SMM09279,20230928,0:05:00,P20_SMM09279,-1.95e-19,5.26e-06,0.995552983,7.65e-05,4.35e-09,0.847326321,1.464544057,4.249823051,296.4887279,-0.268563439,2.079159055,0.012684269,71.31512158,0,1
2023-09-28 00:05:00,SMM09353,20230928,0:05:00,P15_SMM09353,-8e-20,3.71e-06,0.970847128,5.6e-05,3.99e-09,0.731197267,4.196160857,28.29399277,296.4527648,-0.666242202,2.035737718,0.161318404,30.3942534,0,0
2023-09-28 00:05:00,SMM09315,20230928,0:05:00,P43_SMM09315,3.2e-20,4.51e-06,0.995088802,6.01e-05,5.17e-09,0.753053185,2.528734282,9.165552896,296.70552,-0.680287018,2.079403804,0.004883258,43.95172483,0,1
2023-09-28 00:05:00,SMM09330,20230928,0:05:00,P35_SMM09330,-7.25e-21,6.8e-06,0.734465451,5.71e-05,9.9e-09,0.606538333,4.570507431,26.27841977,303.6529631,-0.866810624,1.296853671,0.643199412,32.12228384,0,0
2023-09-28 00:05:00,SMM09396,20230928,0:05:00,P19_SMM09396,6.09e-20,1.17e-06,0.984752343,3.95e-05,6.76e-10,0.881433455,2.102550881,6.753288404,299.6285694,-0.018965554,2.079381393,0.006075343,49.37690364,0,0
2023-09-28 00:05:00,SMM09565,20230928,0:05:00,P34_SMM09565,2.3e-19,4.2e-05,0.897333365,0.000215145,3.55e-08,0.836856688,1.963768343,7.468609994,319.7616561,0.416671928,2.071867762,0.0632611,90.15043521,0,1
2023-09-28 00:05:00,SMM09245,20230928,0:05:00,P40_SMM09245,-6.4e-20,2.71e-06,0.994568545,5.01e-05,2.73e-09,0.770286835,2.930976771,11.55129021,296.3865644,-0.66368547,2.079415733,0.003957655,28.20079486,0,0
2023-09-28 00:05:00,SMM09317,20230928,0:05:00,P16_SMM09317,-9.14e-20,3.59e-05,0.973678728,0.00014383,4.94e-08,0.64465888,5.199696753,46.10145366,297.711326,-0.566045701,1.626859603,0.50125564,118.0234249,0,0
2023-09-28 00:05:00,SMM09595,20230928,0:05:00,P37_SMM09595,-8.26e-20,2.11e-05,0.996474931,0.000153809,1.74e-08,0.869609067,0.817530073,2.916618684,295.9672845,0.131333915,2.079418759,0.002923914,147.1358129,0,0
2023-09-28 00:05:00,SMM09359,20230928,0:05:00,P13_SMM09539,4.53e-20,8.43e-06,0.863312182,7.36e-05,1.08e-08,0.694057993,3.516155806,18.18919969,305.0494681,-0.634362795,1.785653581,0.405620777,58.29209535,0,0
2023-09-28 00:05:00,SMM09350,20230928,0:05:00,P41_SMM09350,1.63e-20,8.57e-06,0.996300079,9.22e-05,8.14e-09,0.820822687,1.710717822,5.438707533,295.8980392,-0.207516998,2.07943042,0.002325628,104.9114511,0,0
2023-09-28 00:10:00,SMM09315,20230928,0:10:00,P43_SMM09315,-1.33e-19,1.93e-05,0.783119542,0.000157944,1.33e-08,0.876858536,1.413487546,4.503913559,354.8978624,0.250498545,2.075916095,0.045804399,50.08873108,0,0
2023-09-28 00:10:00,SMM09309,20230928,0:10:00,P39_SMM09309,-1.17e-19,6.29e-06,0.787563544,8.26e-05,5.49e-09,0.817148613,2.506757713,9.645672761,328.5789672,0.746444955,2.07835762,0.026468642,54.62195753,0,0
2023-09-28 00:10:00,SMM09311,20230928,0:10:00,P09_SMM09311,2.74e-19,2.44e-05,0.796635295,0.000181965,1.46e-08,0.90785968,0.51957017,2.7411665,334.3239592,0.323420205,2.079214575,0.010747561,101.0165539,0,0
2023-09-28 00:10:00,SMM09245,20230928,0:10:00,P40_SMM09245,3.71e-19,0.000171761,0.848921967,0.000412563,1.66e-07,0.801372605,2.36300632,8.736343407,331.6575204,0.561735856,2.078948888,0.017358839,76.87916751,0,0
2023-09-28 00:10:00,SMM09557,20230928,0:10:00,P04_SMM09557,4.63e-20,8.79e-05,0.76662289,0.00027692,9.74e-08,0.765474131,2.713138528,11.01943082,336.6038245,0.877427574,2.074413901,0.056387974,101.2935988,0,0
2023-09-28 00:10:00,SMM09721,20230928,0:10:00,P01_SMM09721,-4.42e-19,2.11e-05,0.764907714,0.000165506,1.41e-08,0.890456541,0.986429797,4.700274314,330.8574321,0.129381011,2.06936342,0.075269859,89.73248198,0,0
2023-09-28 00:10:00,SMM09261,20230928,0:10:00,P02_SMM09261,2.92e-20,3.33e-06,0.979562225,4.83e-05,4.15e-09,0.679989306,3.961955841,18.27561353,296.3953383,-0.776570156,2.071929266,0.067669968,23.9567872,0,7
2023-09-28 00:10:00,SMM09317,20230928,0:10:00,P16_SMM09317,4.06e-20,1.66e-05,0.981218612,0.000129765,1.55e-08,0.822004196,1.866108941,6.47368366,311.436572,-0.120359917,2.058835881,0.09811018,93.72149125,0,0
2023-09-28 00:10:00,SMM09350,20230928,0:10:00,P41_SMM09350,1.95e-19,1.87e-05,0.943682844,0.000153163,1.3e-08,0.886325286,0.803457948,2.519870183,306.1469093,0.23198181,2.079426337,0.002870892,108.8418168,0,0
2023-09-28 00:10:00,SMM09360,20230928,0:10:00,P23_SMM09360,-4.59e-20,2.98e-06,0.928211123,6.17e-05,2e-09,0.874834135,1.540423639,4.647756692,304.4320616,-0.136275179,2.078677904,0.02152705,36.52941591,0,1
2023-09-28 00:10:00,SMM09565,20230928,0:10:00,P34_SMM09565,-2.65e-19,8.96e-06,0.996287385,9.69e-05,8.06e-09,0.835049807,1.515138878,4.491775916,296.1192932,-0.343276799,2.079435539,0.001598637,92.64127686,0,0
